ticker,company name,short name,industry,sector,name change effective date
LXFR,Luxfer Holdings PLC,Luxfer PLC,Industrial Products,Industrials,
LXFT,Luxoft Holding Inc. Class A,Luxoft Holding,Application Software,Technology,
LXP,Lexington Realty Trust,Lexington Realty Trust,REITs,Real Estate,
LXRX,Lexicon Pharmaceuticals Inc.,Lexicon Pharmaceuticals,Biotechnology,Healthcare,
LXU,LSB Industries Inc.,LSB Industries,Chemicals,Basic Materials,
LYB,LyondellBasell Industries NV Class A (Netherlands),LyondellBasell Industries NV (Netherlands),Chemicals,Basic Materials,
LYG,Lloyds Banking Group Plc American Depositary Shares,Lloyds Banking Plc American Depositary Shares,Banks,Financial Services,
LYL,Dragon Victory International Limited,Dragon Victory International Limited,Credit Services,Financial Services,
LYTS,LSI Industries Inc.,LSI Industries,Computer Hardware,Technology,
LYV,Live Nation Entertainment Inc.,Live Nation Entertainment,Entertainment,Consumer Cyclical,
LZB,La-Z-Boy Incorporated,La-Z-Boy Incorporated,Manufacturing - Apparel & Furniture,Consumer Cyclical,
M,Macy's Inc,Macy's,Retail - Apparel & Specialty,Consumer Cyclical,
MA,Mastercard Incorporated,Mastercard Incorporated,Credit Services,Financial Services,
MAA,Mid-America Apartment Communities Inc.,Mid-America Apartment Communities,REITs,Real Estate,
MAC,Macerich Company (The),Macerich Company (The),REITs,Real Estate,
MACK,Merrimack Pharmaceuticals Inc.,Merrimack Pharmaceuticals,Biotechnology,Healthcare,
MAG,MAG Silver Corporation,MAG Silver,Metals & Mining,Basic Materials,
MAGS,Magal Security Systems Ltd.,Magal Security Systems,Consulting & Outsourcing,Industrials,
MAIN,Main Street Capital Corporation,Main Street Capital,Asset Management,Financial Services,
MAMS,MAM Software Group Inc.,MAM Software,Application Software,Technology,
MAN,ManpowerGroup,ManpowerGroup,Employment Services,Industrials,
MANH,Manhattan Associates Inc.,Manhattan Associates,Application Software,Technology,
MANT,ManTech International Corporation,ManTech International,Application Software,Technology,
MANU,Manchester United Ltd. Class A,Manchester United,Travel & Leisure,Consumer Cyclical,
MAR,Marriott International,Marriott International,Travel & Leisure,Consumer Cyclical,
MARA,Marathon Patent Group Inc.,Marathon Patent,Business Services,Industrials,
MARK,Remark Holdings Inc.,Remark,Online Media,Technology,
MARPS,Marine Petroleum Trust Units of Beneficial Interest,Marine Petroleum Trust Units of Beneficial Interest,Oil & Gas - Services,Energy,
MAS,Masco Corporation,Masco,Building Materials,Basic Materials,
MASI,Masimo Corporation,Masimo,Medical Instruments & Equipment,Healthcare,
MAT,Mattel Inc.,Mattel,Travel & Leisure,Consumer Cyclical,
MATW,Matthews International Corporation,Matthews International,Conglomerates,Industrials,
MATX,Matson Inc.,Matson,Transportation & Logistics,Industrials,
MAV,Pioneer Municipal High Income Advantage Trust of Beneficial Interest,Pioneer Municipal High Income Advantage Trust of Beneficial Interest,Asset Management,Financial Services,
MAXR,Maxar Technologies Inc.,Maxar,Communication Equipment,Technology,
MAYS,J. W. Mays Inc.,J. W. Mays,Real Estate Services,Real Estate,
